customer_id,age,annual_income,months_active,avg_monthly_spend,purchase_frequency,avg_order_value,discount_usage_rate,return_rate,browsing_time_minutes,support_interactions,payment_method,region,customer_segment
33554,53,100473.2117089335,63,121.4305650645986,0.8172677727505312,66.82040307180874,0.1172560325657158,0.0231439770726946,77.29839307918124,2.0,Card,Semi-Urban,Occasional
9428,54,54730.64484513024,67,572.5526739973803,3.176550640172249,137.0874492674096,0.2616465984538689,0.4290536465716187,92.13256457547102,2.0,Wallet,Urban,Occasional
200,44,58268.12107913869,57,266.5938962650469,2.713167855558932,71.7968878961216,0.2847845209473695,0.0118539298572257,155.1947682529923,1.0,UPI,Rural,Occasional
12448,54,64829.79565413841,40,691.4523582303511,5.553977153659114,105.5011853137618,0.1048318728979062,0.399686280061852,113.917756218565,0.0,Wallet,Rural,High_Value
39490,28,27431.46787327139,15,832.6647922901562,1.348388848422777,354.5685344441105,0.4092037328990258,0.0395167187775619,50.12365569083919,1.0,Card,Semi-Urban,Occasional
42725,67,13511.06164389557,49,212.4154317193359,1.295646650519839,92.52967205176604,0.4350556640532745,0.188970414427026,131.1014168172288,1.0,UPI,Semi-Urban,Occasional
10823,50,66876.74328415484,60,453.2533527265212,3.41862070256025,102.5780177203026,0.108830121751769,0.0164312421318721,190.578001608316,2.0,Card,Rural,Occasional
49499,64,,59,193.6487622814437,2.003375207684828,64.47704628644091,0.2275169497621805,0.1274855722604361,7.365580970053989,1.0,Card,Rural,Occasional
4145,46,62195.52542318222,53,274.825091486872,0.3694136897714731,200.6881437943961,0.2522670641166797,0.1899573411125503,22.63522929948371,1.0,UPI,Urban,Occasional
36959,50,34685.25433615899,39,925.5864886354484,5.61978748895967,139.821178576974,0.1862180675258514,0.1921103617112076,22.47901076001566,3.0,Wallet,Rural,High_Value
43107,45,60650.9621953484,10,519.5444520759468,0.7241679051104851,301.3305435833723,0.5051759616986348,0.1286286219883209,86.00833212434196,2.0,Card,Rural,Occasional
38696,64,85521.1866315621,64,155.8862607713507,6.151184809488701,21.79866202933389,0.3441762542324706,0.0592356064741621,126.654781241275,2.0,Card,Urban,Loyal
6189,38,40270.90586727695,60,58.58259776679883,3.2444258228596,13.80224327429285,0.3004235950989891,0.3026578317514838,73.44758213272384,0.0,Card,Semi-Urban,Regular
1415,25,16280.51531871437,48,71.54113508811407,,18.94322540360117,0.1323525379746026,0.3905357915805484,101.6001576545289,1.0,Card,Semi-Urban,Regular
18472,45,,68,214.0414505358172,3.56512465630459,46.88622253506677,0.0791653681220587,0.1425197916531578,31.05952573368141,1.0,Wallet,Semi-Urban,Regular
29283,48,36535.45635313846,72,159.7013182944126,3.82862220414103,33.07388972312902,0.3808509966455972,0.1147396359138277,96.59638313352748,0.0,UPI,Urban,Regular
